年份,旅館名稱,散客人數(FIT),團體客人數(Group),住客總人次,本國旅客,日本,美國,南韓,港澳,新加坡,馬來西亞,泰國,中國大陸,歐洲地區
2023,日勝生加賀屋國際溫泉飯店,25708.0,2642.0,28350.0,20710.0,830.0,1025.0,185.0,3715.0,349.0,292.0,85.0,179.0,157.0
2023,北投麗禧溫泉酒店,27551.0,1411.0,28962.0,15734.0,609.0,1732.0,1385.0,5606.0,1005.0,604.0,196.0,225.0,225.0
2023,台北艾麗酒店,92599.0,8258.0,100857.0,34968.0,2168.0,7326.0,4785.0,16132.0,9318.0,2639.0,994.0,1587.0,4802.0
2023,北投老爺酒店,28439.0,1113.0,29552.0,20862.0,438.0,813.0,631.0,4615.0,728.0,282.0,81.0,130.0,139.0
2023,雀客旅館台北南京,25910.0,2455.0,28365.0,23525.0,344.0,686.0,414.0,1182.0,511.0,424.0,45.0,217.0,143.0
2023,合尊酒店 S Hotel,24788.0,1305.0,26093.0,12065.0,545.0,1353.0,587.0,2195.0,0.0,0.0,119.0,1362.0,994.0
2023,台北中山雅樂軒酒店,41718.0,0.0,41718.0,7108.0,4949.0,11796.0,993.0,3854.0,4948.0,1912.0,451.0,1560.0,1199.0
2023,義華酒店,40029.0,4471.0,44500.0,16610.0,1483.0,12997.0,2289.0,2109.0,1795.0,1061.0,223.0,948.0,1491.0
2023,台北漢來大飯店,11831.0,1161.0,12992.0,11242.0,147.0,176.0,516.0,236.0,50.0,75.0,22.0,172.0,63.0
2023,尊爵天際大飯店,35417.0,46175.0,81592.0,11652.0,2171.0,1556.0,8252.0,77.0,800.0,631.0,0.0,1437.0,2464.0
2023,南方莊園渡假飯店,33873.0,13372.0,47245.0,46383.0,44.0,41.0,24.0,476.0,84.0,0.0,34.0,24.0,12.0
2023,台北諾富特華航桃園機場飯店,135571.0,8436.0,144007.0,67506.0,9128.0,14947.0,2744.0,1949.0,4772.0,6643.0,7709.0,831.0,5769.0
2023,桃園喜來登酒店,31733.0,9126.0,40859.0,22273.0,1164.0,7665.0,713.0,621.0,875.0,530.0,139.0,663.0,1167.0
2023,名人堂花園大飯店,86681.0,6001.0,92682.0,90146.0,127.0,587.0,43.0,506.0,417.0,155.0,8.0,251.0,41.0
2023,和逸飯店桃園青埔館,130359.0,0.0,130359.0,106715.0,1493.0,815.0,1561.0,4413.0,5182.0,1499.0,408.0,777.0,1943.0
2023,尊爵大飯店,26616.0,31308.0,57924.0,13705.0,2739.0,2000.0,12529.0,875.0,689.0,4955.0,0.0,864.0,1102.0
2023,古華花園飯店,123921.0,8053.0,131974.0,77776.0,5529.0,8081.0,3690.0,5620.0,4865.0,3509.0,223.0,2263.0,2588.0
2023,福容大飯店   桃園,48771.0,11489.0,60260.0,24966.0,2566.0,1052.0,4680.0,3731.0,965.0,4466.0,359.0,778.0,1157.0
2023,福容徠旅 林口,6036.0,3799.0,9835.0,3239.0,152.0,155.0,1384.0,375.0,105.0,67.0,54.0,256.0,103.0
2023,全國大飯店,54482.0,7963.0,62445.0,47909.0,4908.0,1980.0,973.0,1172.0,621.0,519.0,138.0,629.0,1300.0
2023,長榮桂冠酒店(台中),67073.0,24345.0,91418.0,68267.0,6193.0,2959.0,747.0,788.0,1085.0,1047.0,361.0,717.0,4654.0
2023,台中福華大飯店,88150.0,7292.0,95442.0,66764.0,3902.0,2302.0,1876.0,1182.0,2060.0,1081.0,336.0,976.0,5046.0
2023,台中金典酒店,79284.0,44984.0,124268.0,98399.0,8223.0,3293.0,1809.0,2095.0,2084.0,895.0,558.0,682.0,2336.0
2023,通豪大飯店,660.0,0.0,660.0,648.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2023,龍谷大飯店,20316.0,21668.0,41984.0,41682.0,28.0,15.0,7.0,160.0,28.0,32.0,0.0,4.0,12.0
2023,裕元花園酒店,69619.0,8919.0,78538.0,61035.0,2282.0,3426.0,1004.0,1161.0,901.0,1104.0,312.0,749.0,3438.0
2023,台中港酒店,76546.0,5449.0,81995.0,46662.0,8693.0,1090.0,2592.0,617.0,844.0,2589.0,306.0,1354.0,7730.0
2023,台南大飯店,53793.0,5450.0,59243.0,40749.0,7670.0,1448.0,945.0,1722.0,1208.0,623.0,191.0,1274.0,658.0
2023,趣淘漫旅,80035.0,38929.0,118964.0,118538.0,11.0,14.0,2.0,49.0,4.0,14.0,0.0,5.0,6.0
2023,台糖長榮酒店(台南),87067.0,20089.0,107156.0,97044.0,2971.0,1650.0,814.0,350.0,515.0,455.0,60.0,250.0,1278.0
2023,台南遠東香格里拉,126672.0,10526.0,137198.0,69930.0,6434.0,21064.0,6757.0,2852.0,3432.0,1189.0,253.0,3231.0,11518.0
2023,台南大員皇冠假日酒店,78960.0,21122.0,100082.0,86240.0,308.0,3066.0,674.0,845.0,730.0,143.0,0.0,1501.0,5502.0
2023,遠百企業觀光旅館,961.0,0.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,承攜行旅 高雄六合館,59359.0,9772.0,69131.0,60261.0,2445.0,424.0,618.0,760.0,147.0,256.0,132.0,62.0,162.0
2023,高雄圓山大飯店,43055.0,17328.0,60383.0,55824.0,1274.0,540.0,543.0,499.0,122.0,101.0,70.0,200.0,590.0
2023,高雄國賓大飯店,12302.0,2064.0,14366.0,12846.0,448.0,164.0,233.0,37.0,248.0,76.0,4.0,4.0,100.0
2023,漢來大飯店,156011.0,38788.0,194799.0,133448.0,13306.0,10231.0,7925.0,2523.0,1735.0,1910.0,925.0,2146.0,6812.0
2023,高雄福華大飯店,103865.0,36483.0,140348.0,91558.0,19014.0,1582.0,4478.0,5076.0,1174.0,961.0,1208.0,794.0,6442.0
2023,寒軒國際大飯店,83594.0,47656.0,131250.0,102906.0,10924.0,1266.0,3227.0,2493.0,953.0,926.0,239.0,1112.0,2839.0
2023,麗尊大酒店,61702.0,10809.0,72511.0,57378.0,6368.0,1498.0,1408.0,1852.0,592.0,788.0,389.0,379.0,5.0
2023,義大皇家酒店,158711.0,140592.0,299303.0,284937.0,278.0,427.0,6582.0,3604.0,564.0,495.0,183.0,208.0,510.0
2023,高雄萬豪酒店,227921.0,51276.0,279197.0,201487.0,3827.0,35628.0,4671.0,7552.0,3636.0,1761.0,3813.0,5851.0,3109.0
2023,福容大飯店 高雄,60815.0,50628.0,111443.0,93401.0,2448.0,1008.0,2227.0,1436.0,1253.0,1084.0,627.0,273.0,696.0
