year,month,city,hotel_name,total_rooms,rooms_used,occupancy_rate,avg_price,room_revenue,food_revenue,total_revenue,employees,individual_guests,group_guests,total_guests,domestic_guests,japan_guests,korea_guests,hk_mo_guests,usa_guests,domestic_ratio,international_ratio,individual_ratio,revpar,star_rank,star_rating,has_star
2023,1,台南市,台南大員皇冠假日酒店,231.0,5266,73.53721547269934,6129.306684390429,32276929,27354670,65682969,214,8735,1251,9986,8321,27,43,13,267,0.8332665732024834,0.16673342679751657,0.8747246144602443,4507.321463482754,5.0,五星級,1
2023,1,台南市,台南大飯店,152.0,2631,55.83616298811545,3195.669707335614,8407807,20489837,30046355,128,5013,50,5063,4396,190,97,26,42,0.8682599249456844,0.13174007505431562,0.9901244321548489,1784.3393463497455,3.0,三星級,1
2023,1,台南市,台南遠東香格里拉,330.0,8475,82.84457478005865,6109.585840707965,51778740,38187943,102563599,504,13329,706,14035,9102,243,400,20,1663,0.6485215532597078,0.35147844674029216,0.94969718560741,5061.460410557185,5.0,五星級,1
2023,1,台南市,台糖長榮酒店(台南),197.0,4340,71.06598984771574,4601.133870967742,19968921,29290994,50761717,158,8285,1290,9575,8895,195,20,23,59,0.9289817232375979,0.07101827676240213,0.8652741514360314,3269.841329621746,5.0,五星級,1
2023,1,台南市,趣淘漫旅,198.0,3393,55.278592375366564,5306.24196875921,18004079,3415029,23491032,98,8115,1937,10052,10036,0,0,0,0,0.9984082769598089,0.001591723040191062,0.8073020294468762,2933.2158683610296,3.0,三星級,1
2023,1,台南市,遠百企業觀光旅館,40.0,80,6.451612903225806,500.0,40000,0,40000,23,80,0,80,80,0,0,0,0,1.0,0.0,1.0,32.25806451612903,,無星等/未評鑑,0
2023,1,台東縣,台東桂田喜來登酒店,290.0,3940,43.82647385984427,6397.13578680203,25204715,18733860,45481870,167,8142,1758,9900,9719,2,2,8,75,0.9817171717171718,0.018282828282828234,0.8224242424242424,2803.639043381535,5.0,五星級,1
2023,1,台東縣,娜路彎大酒店,292.0,4870,53.80026513477685,8730.956878850102,42519760,16118877,69013160,176,14766,246,15012,14996,0,0,2,0,0.9989341859845456,0.0010658140154543583,0.9836131095123901,4697.277949624393,5.0,五星級,1
2023,1,台東縣,樂樂日暉溫泉酒店,48.0,741,49.798387096774185,2500.252361673414,1852687,0,1852687,9,1485,0,1485,1485,0,0,0,0,1.0,0.0,1.0,1245.0853494623652,,無星等/未評鑑,0
2023,1,台東縣,知本老爺大酒店,182.0,4671,82.78979085430699,7720.472275743952,36062326,14655747,58103869,206,10629,948,11577,11524,4,2,10,0,0.9954219573291871,0.004578042670812854,0.9181135009069707,6391.762850053173,5.0,五星級,1
