date,year,month,horizon,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-05-01,2026,5,5,桃園市,桃園喜來登酒店,50.91,53.29587323818466,2.385873238184665,2.385873238184665
2026-05-01,2026,5,5,桃園市,尊爵天際大飯店,73.85,78.72056339790718,4.8705633979071905,4.8705633979071905
2026-05-01,2026,5,5,桃園市,尊爵大飯店,60.150000000000006,67.5669753898854,7.416975389885394,7.416975389885394
2026-05-01,2026,5,5,桃園市,和逸飯店桃園青埔館,77.42,75.23578040132365,-2.18421959867635,2.18421959867635
2026-05-01,2026,5,5,桃園市,名人堂花園大飯店,39.72,41.53020992884631,1.8102099288463123,1.8102099288463123
2026-05-01,2026,5,5,桃園市,古華花園飯店,82.64,86.90951132440543,4.269511324405428,4.269511324405428
2026-05-01,2026,5,5,桃園市,南方莊園渡假飯店,29.469999999999995,41.76093050648876,12.290930506488767,12.290930506488767
2026-05-01,2026,5,5,花蓮縣,太魯閣晶英酒店,38.75,23.461853936634995,-15.288146063365005,15.288146063365005
2026-05-01,2026,5,5,台東縣,知本老爺大酒店,0.0,62.824272420047706,62.824272420047706,62.824272420047706
2026-05-01,2026,5,5,台北市,台北花園大酒店,88.8,86.46726003628025,-2.332739963719746,2.332739963719746
2026-05-01,2026,5,5,台東縣,娜路彎大酒店,52.91,48.28717493968996,-4.622825060310035,4.622825060310035
2026-05-01,2026,5,5,台北市,台北寒舍喜來登大飯店,71.63,77.99692766260907,6.366927662609072,6.366927662609072
2026-05-01,2026,5,5,台北市,台北君悅酒店,79.65,76.83256223729248,-2.8174377627075273,2.8174377627075273
2026-05-01,2026,5,5,台北市,台北君品大酒店,76.9,75.4684355096424,-1.4315644903576015,1.4315644903576015
2026-05-01,2026,5,5,台北市,台北凱撒大飯店,91.15,87.26798570818524,-3.8820142918147695,3.8820142918147695
2026-05-01,2026,5,5,台北市,台北中山雅樂軒酒店,83.32,84.52461052667947,1.204610526679474,1.204610526679474
2026-05-01,2026,5,5,台北市,台北W飯店,83.78,74.52494309251806,-9.255056907481944,9.255056907481944
2026-05-01,2026,5,5,台北市,北投麗禧溫泉酒店,53.52,59.164580487681484,5.6445804876814805,5.6445804876814805
2026-05-01,2026,5,5,台北市,北投老爺酒店,66.19,73.55441820101271,7.364418201012711,7.364418201012711
2026-05-01,2026,5,5,台北市,兄弟大飯店,56.720000000000006,67.44319420192025,10.723194201920244,10.723194201920244
2026-05-01,2026,5,5,台北市,亞都麗緻大飯店,60.83,66.89154868481764,6.061548684817637,6.061548684817637
2026-05-01,2026,5,5,台北市,三德大飯店,57.69,54.47224957208342,-3.2177504279165774,3.2177504279165774
2026-05-01,2026,5,5,台北市,JR東日本大飯店台北,80.35,84.08935128525737,3.7393512852573707,3.7393512852573707
2026-05-01,2026,5,5,台中市,龍谷大飯店,23.91,22.168008712250927,-1.741991287749073,1.741991287749073
2026-05-01,2026,5,5,台中市,長榮桂冠酒店(台中),74.96,54.620281001329914,-20.33971899867008,20.33971899867008
2026-05-01,2026,5,5,台中市,通豪大飯店,39.01,47.932557768832694,8.922557768832696,8.922557768832696
2026-05-01,2026,5,5,台中市,裕元花園酒店,78.65,82.04965762733278,3.399657627332772,3.399657627332772
2026-05-01,2026,5,5,台中市,台中金典酒店,78.26,70.01250687607434,-8.247493123925665,8.247493123925665
2026-05-01,2026,5,5,台中市,台中福華大飯店,87.12,85.43126887776954,-1.6887311222304646,1.6887311222304646
2026-05-01,2026,5,5,台中市,台中港酒店,73.6,78.1594061494846,4.559406149484602,4.559406149484602
2026-05-01,2026,5,5,台中市,全國大飯店,49.53,53.78492945615196,4.254929456151956,4.254929456151956
2026-05-01,2026,5,5,南投縣,雲品溫泉酒店日月潭,64.19,68.80158653712414,4.61158653712414,4.61158653712414
2026-05-01,2026,5,5,南投縣,漢來日月行館,72.67,59.35030405426736,-13.31969594573264,13.31969594573264
2026-05-01,2026,5,5,南投縣,涵碧樓大飯店,74.87,75.28565175005342,0.4156517500534136,0.4156517500534136
2026-05-01,2026,5,5,南投縣,日月潭力麗溫德姆溫泉酒店,41.03,48.69962533798606,7.669625337986062,7.669625337986062
2026-05-01,2026,5,5,高雄市,高雄萬豪酒店,59.150000000000006,67.0377183611034,7.887718361103396,7.887718361103396
2026-05-01,2026,5,5,台北市,台北寒舍艾美酒店,86.79,85.25431247625603,-1.5356875237439738,1.5356875237439738
2026-05-01,2026,5,5,台北市,台北漢來大飯店,60.99,55.739398558196314,-5.250601441803688,5.250601441803688
2026-05-01,2026,5,5,台北市,台北美福大飯店,64.36,68.57440150449554,4.214401504495541,4.214401504495541
2026-05-01,2026,5,5,台北市,台北艾麗酒店,80.91,80.86399495357378,-0.04600504642621672,0.04600504642621672
2026-05-01,2026,5,5,台東縣,台東桂田喜來登酒店,52.96999999999999,49.556675845076406,-3.413324154923586,3.413324154923586
2026-05-01,2026,5,5,台南市,遠百企業觀光旅館,15.05,14.108537938243469,-0.9414620617565319,0.9414620617565319
2026-05-01,2026,5,5,台南市,趣淘漫旅,69.08,54.783680323182246,-14.296319676817753,14.296319676817753
2026-05-01,2026,5,5,台南市,台糖長榮酒店(台南),77.21,66.88083442944617,-10.329165570553826,10.329165570553826
2026-05-01,2026,5,5,台南市,台南遠東香格里拉,76.79,74.50171704579478,-2.288282954205229,2.288282954205229
2026-05-01,2026,5,5,台南市,台南大飯店,81.56,61.771255150727136,-19.788744849272867,19.788744849272867
2026-05-01,2026,5,5,台南市,台南大員皇冠假日酒店,63.13999999999999,63.665837544862775,0.5258375448627817,0.5258375448627817
2026-05-01,2026,5,5,台北市,雀客藏居台北陽明山,48.06,58.67880950487562,10.618809504875621,10.618809504875621
2026-05-01,2026,5,5,台北市,雀客旅館台北南京,86.87,86.96874062897196,0.09874062897195302,0.09874062897195302
2026-05-01,2026,5,5,台北市,豪景大酒店,56.64,59.23269257931325,2.592692579313251,2.592692579313251
2026-05-01,2026,5,5,台北市,老爺大酒店,87.34,86.75182521301655,-0.5881747869834584,0.5881747869834584
2026-05-01,2026,5,5,台北市,義華酒店,64.23,61.58636703454944,-2.643632965450564,2.643632965450564
2026-05-01,2026,5,5,台東縣,樂樂日暉溫泉酒店,41.26,30.385371326649565,-10.874628673350433,10.874628673350433
2026-05-01,2026,5,5,台北市,美麗信花園酒店,97.63,91.4020646192623,-6.227935380737691,6.227935380737691
2026-05-01,2026,5,5,台北市,福華大飯店,0.59,74.43720872270744,73.84720872270744,73.84720872270744
2026-05-01,2026,5,5,台北市,福容大飯店  台北一館,73.87,65.76651004219462,-8.10348995780538,8.10348995780538
2026-05-01,2026,5,5,台北市,漢普頓酒店,75.51,80.46161195027844,4.9516119502784335,4.9516119502784335
2026-05-01,2026,5,5,台北市,歐華酒店,39.06,46.96512072692859,7.905120726928587,7.905120726928587
2026-05-01,2026,5,5,台北市,晶華酒店,85.78,81.34951436621088,-4.430485633789118,4.430485633789118
2026-05-01,2026,5,5,台北市,日勝生加賀屋國際溫泉飯店,27.940000000000005,33.42275783867957,5.482757838679568,5.482757838679568
2026-05-01,2026,5,5,台北市,天成大飯店,95.5,87.39628965698473,-8.103710343015265,8.103710343015265
2026-05-01,2026,5,5,台北市,圓山大飯店,83.5,74.80895429512384,-8.69104570487616,8.69104570487616
2026-05-01,2026,5,5,台北市,國聯大飯店,49.21,53.11433757147916,3.904337571479161,3.904337571479161
2026-05-01,2026,5,5,台北市,國王大飯店,65.71,68.96013871296088,3.25013871296089,3.25013871296089
2026-05-01,2026,5,5,台北市,台北遠東香格里拉,71.04,74.49362822969088,3.453628229690878,3.453628229690878
2026-05-01,2026,5,5,台北市,台北萬豪酒店,91.69,86.10224735622357,-5.587752643776426,5.587752643776426
2026-05-01,2026,5,5,台北市,第一大飯店,38.58,47.735727866409036,9.155727866409038,9.155727866409038
2026-05-01,2026,5,5,高雄市,麗尊大酒店,51.63,68.07805835091997,16.448058350919972,16.448058350919972
2026-06-01,2026,6,6,屏東縣,墾丁福華渡假飯店,53.36,43.63775297314965,-9.722247026850347,9.722247026850347
2026-06-01,2026,6,6,新北市,八里福朋喜來登酒店,32.85,43.809163097610984,10.959163097610983,10.959163097610983
2026-06-01,2026,6,6,新北市,大板根渡假酒店,72.49,68.03549051987366,-4.454509480126333,4.454509480126333
2026-06-01,2026,6,6,新北市,板橋凱撒大飯店,93.0,87.55422233615828,-5.445777663841724,5.445777663841724
2026-06-01,2026,6,6,新北市,瓏山林台北中和飯店,62.78,60.5151346282157,-2.2648653717843032,2.2648653717843032
2026-06-01,2026,6,6,新北市,福容大飯店    淡水漁人碼頭,76.45,55.54131718394697,-20.90868281605303,20.90868281605303
2026-06-01,2026,6,6,新北市,福容大飯店 福隆,55.71,49.213535290426414,-6.496464709573587,6.496464709573587
2026-06-01,2026,6,6,新北市,美麗春天大飯店,1.76,5.10673769421941,3.34673769421941,3.34673769421941
2026-06-01,2026,6,6,新竹市,新竹國賓大飯店,77.55,68.74235644311773,-8.807643556882269,8.807643556882269
2026-06-01,2026,6,6,屏東縣,墾丁怡灣渡假酒店,51.38,47.685007923190945,-3.694992076809058,3.694992076809058
2026-06-01,2026,6,6,新北市,碧特弗大飯店,15.7,14.635878181675482,-1.0641218183245176,1.0641218183245176
2026-06-01,2026,6,6,屏東縣,凱撒大飯店,79.55,67.53479046602358,-12.015209533976417,12.015209533976417
2026-06-01,2026,6,6,嘉義市,鈺通大飯店,26.61,36.23218128377955,9.622181283779554,9.622181283779554
2026-06-01,2026,6,6,宜蘭縣,蘭城晶英酒店,58.93000000000001,68.27297899985878,9.342978999858772,9.342978999858772
2026-06-01,2026,6,6,宜蘭縣,綠舞國際觀光飯店,38.33,49.287662641554135,10.957662641554137,10.957662641554137
2026-06-01,2026,6,6,宜蘭縣,礁溪麒麟酒店,66.09,70.75743175390205,4.667431753902051,4.667431753902051
2026-06-01,2026,6,6,宜蘭縣,礁溪老爺酒店,71.22,72.99300782301505,1.7730078230150497,1.7730078230150497
2026-06-01,2026,6,6,宜蘭縣,悅川酒店,78.77,68.61669122961118,-10.153308770388819,10.153308770388819
2026-06-01,2026,6,6,宜蘭縣,幼獅大飯店,11.38,14.160645775932448,2.780645775932447,2.780645775932447
2026-06-01,2026,6,6,宜蘭縣,山泉大飯店,44.47,64.02204803588691,19.552048035886912,19.552048035886912
2026-06-01,2026,6,6,宜蘭縣,凱渡廣場酒店,52.22,35.38736915470506,-16.832630845294936,16.832630845294936
2026-06-01,2026,6,6,基隆市,長榮桂冠酒店(基隆),84.02,83.8756632985378,-0.14433670146219413,0.14433670146219413
2026-06-01,2026,6,6,嘉義縣,阿里山賓館(現代館),45.77,55.09171243363277,9.321712433632769,9.321712433632769
2026-06-01,2026,6,6,嘉義縣,阿里山賓館(歷史館),45.71,35.917314678621864,-9.792685321378137,9.792685321378137
2026-06-01,2026,6,6,嘉義縣,名都觀光渡假大飯店,13.2,23.849783906238656,10.649783906238657,10.649783906238657
2026-06-01,2026,6,6,宜蘭縣,長榮鳳凰酒店(礁溪),51.4,58.40790612065986,7.007906120659861,7.007906120659861
2026-06-01,2026,6,6,新竹市,新竹老爺大酒店,79.05,74.02929981639633,-5.020700183603665,5.020700183603665
2026-06-01,2026,6,6,高雄市,高雄福華大飯店,77.4,83.7857817593861,6.3857817593860915,6.3857817593860915
2026-06-01,2026,6,6,新竹縣,豐邑喜來登大飯店,62.64999999999999,51.79776231307809,-10.852237686921903,10.852237686921903
2026-06-01,2026,6,6,嘉義市,耐斯王子大飯店,54.48,48.33410891038421,-6.1458910896157875,6.1458910896157875
2026-06-01,2026,6,6,高雄市,高雄圓山大飯店,42.54,66.69896214302962,24.15896214302962,24.15896214302962
2026-06-01,2026,6,6,高雄市,義大皇家酒店,45.84,47.81770531231937,1.9777053123193653,1.9777053123193653
2026-06-01,2026,6,6,高雄市,福容大飯店 高雄,46.35,66.21170999250971,19.86170999250971,19.86170999250971
2026-06-01,2026,6,6,高雄市,然一酒店,61.03999999999999,47.549173021255775,-13.490826978744217,13.490826978744217
2026-06-01,2026,6,6,高雄市,漢來大飯店,62.64999999999999,72.31665346373987,9.666653463739877,9.666653463739877
