date,year,month,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-05-01,2026,5,台北市,福華大飯店,0.59,39.154236517218905,38.5642365172189,38.5642365172189
2026-06-01,2026,6,台北市,福華大飯店,0.57,17.06897663968183,16.49897663968183,16.49897663968183
2026-01-01,2026,1,台北市,第一大飯店,38.21,45.05823860928242,6.848238609282419,6.848238609282419
2026-02-01,2026,2,台北市,第一大飯店,38.96,43.37322991385662,4.413229913856618,4.413229913856618
2026-03-01,2026,3,台北市,第一大飯店,56.82000000000001,45.41466912449131,-11.405330875508696,11.405330875508696
2026-04-01,2026,4,台北市,第一大飯店,46.7,50.05292826991844,3.3529282699184364,3.3529282699184364
2026-05-01,2026,5,台北市,第一大飯店,38.58,44.62051789368486,6.040517893684864,6.040517893684864
2026-06-01,2026,6,台北市,第一大飯店,29.45,35.6359419632051,6.185941963205099,6.185941963205099
2026-03-01,2026,3,宜蘭縣,紅羽莊園,0.0,54.836250180176116,54.836250180176116,54.836250180176116
2026-04-01,2026,4,宜蘭縣,紅羽莊園,0.0,1.479538061358067,1.479538061358067,1.479538061358067
2026-05-01,2026,5,宜蘭縣,紅羽莊園,1.98,0.0,-1.98,1.98
2026-06-01,2026,6,宜蘭縣,紅羽莊園,10.0,3.9627957901933573,-6.037204209806642,6.037204209806642
2026-01-01,2026,1,宜蘭縣,綠舞國際觀光飯店,33.36,54.99998142263896,21.63998142263896,21.63998142263896
2026-02-01,2026,2,宜蘭縣,綠舞國際觀光飯店,47.31,39.6028539169805,-7.707146083019502,7.707146083019502
2026-03-01,2026,3,宜蘭縣,綠舞國際觀光飯店,26.26,45.12165410249408,18.861654102494075,18.861654102494075
2026-04-01,2026,4,宜蘭縣,綠舞國際觀光飯店,32.83,32.08741768026205,-0.7425823197379486,0.7425823197379486
2026-05-01,2026,5,宜蘭縣,綠舞國際觀光飯店,40.66,37.02471593593225,-3.635284064067747,3.635284064067747
2026-06-01,2026,6,宜蘭縣,綠舞國際觀光飯店,38.33,41.68110185916159,3.351101859161595,3.351101859161595
2026-01-01,2026,1,花蓮縣,美侖大飯店,44.83,38.19461051409826,-6.63538948590174,6.63538948590174
2026-02-01,2026,2,花蓮縣,美侖大飯店,53.7,42.30997970532471,-11.390020294675296,11.390020294675296
2026-03-01,2026,3,花蓮縣,美侖大飯店,40.82,48.337175960918366,7.517175960918365,7.517175960918365
2026-04-01,2026,4,花蓮縣,美侖大飯店,52.6,41.07383005884663,-11.52616994115337,11.52616994115337
2026-05-01,2026,5,花蓮縣,美侖大飯店,57.95,46.308816540959356,-11.641183459040647,11.641183459040647
2026-06-01,2026,6,花蓮縣,美侖大飯店,60.0,51.21719948535363,-8.782800514646368,8.782800514646368
2026-01-01,2026,1,台北市,美麗信花園酒店,96.41,89.37113168426512,-7.038868315734874,7.038868315734874
2026-02-01,2026,2,台北市,美麗信花園酒店,95.3,92.09771208275646,-3.202287917243538,3.202287917243538
2026-03-01,2026,3,台北市,美麗信花園酒店,97.09,95.05585242371524,-2.0341475762847665,2.0341475762847665
2026-04-01,2026,4,台北市,美麗信花園酒店,99.0,93.05995633456233,-5.9400436654376705,5.9400436654376705
2026-05-01,2026,5,台北市,美麗信花園酒店,97.63,91.90834388017282,-5.721656119827173,5.721656119827173
2026-06-01,2026,6,台北市,美麗信花園酒店,96.7,92.65930102722508,-4.040698972774919,4.040698972774919
2026-01-01,2026,1,新北市,美麗春天大飯店,1.71,0.0,-1.71,1.71
2026-02-01,2026,2,新北市,美麗春天大飯店,1.16,3.0249050094925494,1.8649050094925494,1.8649050094925494
2026-03-01,2026,3,新北市,美麗春天大飯店,1.71,3.3351143178336495,1.6251143178336496,1.6251143178336496
2026-04-01,2026,4,新北市,美麗春天大飯店,1.67,3.46862818099764,1.7986281809976399,1.7986281809976399
2026-05-01,2026,5,新北市,美麗春天大飯店,2.09,1.8656843300976707,-0.2243156699023292,0.2243156699023292
2026-06-01,2026,6,新北市,美麗春天大飯店,1.76,2.6765404308108827,0.9165404308108827,0.9165404308108827
2026-01-01,2026,1,高雄市,義大皇家酒店,42.73,46.79101969602121,4.061019696021212,4.061019696021212
2026-02-01,2026,2,高雄市,義大皇家酒店,55.44,46.11474182779306,-9.325258172206937,9.325258172206937
2026-03-01,2026,3,高雄市,義大皇家酒店,40.76,54.276017703988884,13.516017703988886,13.516017703988886
2026-04-01,2026,4,高雄市,義大皇家酒店,48.49,45.800856457099854,-2.6891435429001476,2.6891435429001476
2026-05-01,2026,5,高雄市,義大皇家酒店,41.59,45.167786752666025,3.5777867526660216,3.5777867526660216
2026-06-01,2026,6,高雄市,義大皇家酒店,45.84,44.99454454114143,-0.8454554588585736,0.8454554588585736
2026-01-01,2026,1,台北市,義華酒店,66.53,55.31884481287275,-11.211155187127254,11.211155187127254
2026-02-01,2026,2,台北市,義華酒店,48.78,68.7954174245141,20.015417424514098,20.015417424514098
2026-03-01,2026,3,台北市,義華酒店,74.47,62.08259488425743,-12.387405115742567,12.387405115742567
2026-04-01,2026,4,台北市,義華酒店,65.28,69.68321177501255,4.403211775012551,4.403211775012551
2026-05-01,2026,5,台北市,義華酒店,64.23,60.719790226743946,-3.510209773256058,3.510209773256058
2026-06-01,2026,6,台北市,義華酒店,57.79,61.848940311733166,4.058940311733167,4.058940311733167
2026-01-01,2026,1,台北市,老爺大酒店,82.39,84.35261390270416,1.9626139027041631,1.9626139027041631
2026-02-01,2026,2,台北市,老爺大酒店,80.37,85.09184235783569,4.721842357835683,4.721842357835683
2026-03-01,2026,3,台北市,老爺大酒店,92.83,89.66933057634589,-3.160669423654113,3.160669423654113
2026-04-01,2026,4,台北市,老爺大酒店,90.31,88.61386379072495,-1.6961362092750534,1.6961362092750534
2026-05-01,2026,5,台北市,老爺大酒店,87.34,86.12356226182504,-1.2164377381749603,1.2164377381749603
2026-06-01,2026,6,台北市,老爺大酒店,85.05,85.2375863816844,0.18758638168439745,0.18758638168439745
2026-01-01,2026,1,嘉義市,耐斯王子大飯店,41.17,46.949395122810095,5.779395122810094,5.779395122810094
2026-02-01,2026,2,嘉義市,耐斯王子大飯店,40.77,42.510543646853364,1.7405436468533608,1.7405436468533608
2026-03-01,2026,3,嘉義市,耐斯王子大飯店,66.15,47.350802710109754,-18.79919728989025,18.79919728989025
2026-04-01,2026,4,嘉義市,耐斯王子大飯店,69.18,59.65210334162046,-9.527896658379547,9.527896658379547
2026-05-01,2026,5,嘉義市,耐斯王子大飯店,64.23,56.841593304127116,-7.388406695872888,7.388406695872888
2026-06-01,2026,6,嘉義市,耐斯王子大飯店,54.48,59.74283462314841,5.262834623148414,5.262834623148414
2026-01-01,2026,1,宜蘭縣,蘭城晶英酒店,46.9,67.39227094058488,20.49227094058488,20.49227094058488
2026-02-01,2026,2,宜蘭縣,蘭城晶英酒店,59.79,57.14214690794381,-2.647853092056188,2.647853092056188
2026-03-01,2026,3,宜蘭縣,蘭城晶英酒店,27.36,56.388097038380735,29.028097038380736,29.028097038380736
2026-04-01,2026,4,宜蘭縣,蘭城晶英酒店,49.22,40.63476169426237,-8.585238305737626,8.585238305737626
2026-05-01,2026,5,宜蘭縣,蘭城晶英酒店,53.75,53.821772437759975,0.0717724377599751,0.0717724377599751
2026-06-01,2026,6,宜蘭縣,蘭城晶英酒店,58.93000000000001,57.907193401383914,-1.0228065986160928,1.0228065986160928
2026-01-01,2026,1,台中市,裕元花園酒店,77.72,77.09045437613304,-0.6295456238669601,0.6295456238669601
2026-02-01,2026,2,台中市,裕元花園酒店,71.0,79.29552304287763,8.295523042877633,8.295523042877633
2026-03-01,2026,3,台中市,裕元花園酒店,78.46,77.91980528348444,-0.5401947165155576,0.5401947165155576
2026-04-01,2026,4,台中市,裕元花園酒店,76.96,79.71878535216746,2.7587853521674646,2.7587853521674646
2026-05-01,2026,5,台中市,裕元花園酒店,78.65,77.71583310014083,-0.9341668998591786,0.9341668998591786
2026-06-01,2026,6,台中市,裕元花園酒店,79.91,80.0972337422776,0.18723374227759848,0.18723374227759848
2026-01-01,2026,1,新竹縣,豐邑喜來登大飯店,51.59,47.41120934097362,-4.178790659026383,4.178790659026383
2026-02-01,2026,2,新竹縣,豐邑喜來登大飯店,43.69,53.23338544560913,9.543385445609132,9.543385445609132
2026-03-01,2026,3,新竹縣,豐邑喜來登大飯店,59.21999999999999,50.213614244439,-9.006385755560991,9.006385755560991
2026-04-01,2026,4,新竹縣,豐邑喜來登大飯店,56.75,53.244434929504564,-3.505565070495436,3.505565070495436
2026-05-01,2026,5,新竹縣,豐邑喜來登大飯店,58.48,52.98875157936247,-5.491248420637525,5.491248420637525
2026-06-01,2026,6,新竹縣,豐邑喜來登大飯店,62.64999999999999,54.85383262876109,-7.7961673712389015,7.7961673712389015
2026-01-01,2026,1,台北市,豪景大酒店,61.61,62.74513748341753,1.1351374834175303,1.1351374834175303
2026-02-01,2026,2,台北市,豪景大酒店,52.99,66.5495654056078,13.559565405607792,13.559565405607792
2026-03-01,2026,3,台北市,豪景大酒店,70.52,64.0179260956541,-6.502073904345892,6.502073904345892
2026-04-01,2026,4,台北市,豪景大酒店,59.03,66.09645284326743,7.066452843267427,7.066452843267427
2026-05-01,2026,5,台北市,豪景大酒店,56.64,55.196565795962755,-1.4434342040372456,1.4434342040372456
2026-06-01,2026,6,台北市,豪景大酒店,55.04,55.59936214568533,0.5593621456853342,0.5593621456853342
2026-01-01,2026,1,台南市,趣淘漫旅,77.89,58.55838160906054,-19.33161839093946,19.33161839093946
2026-02-01,2026,2,台南市,趣淘漫旅,95.33,68.4115387896211,-26.918461210378894,26.918461210378894
2026-03-01,2026,3,台南市,趣淘漫旅,83.18,82.69672782458535,-0.4832721754146547,0.4832721754146547
2026-04-01,2026,4,台南市,趣淘漫旅,67.46,74.82491852273667,7.364918522736673,7.364918522736673
2026-05-01,2026,5,台南市,趣淘漫旅,69.08,67.13445316864012,-1.9455468313598772,1.9455468313598772
